Date,finbert_score,lm_score,CP,Returns,Signal_FinBERT,Signal_Dictionary,Strat_FinBERT,Strat_Dictionary,Cum_BuyHold,Cum_FinBERT,Cum_Dictionary,Strat_Combined
2023-06-01,-0.16105119021315323,0.0011137469341803692,4221.02,0.009806229149665344,-1,-1,-0.009806229149665344,-0.009806229149665344,1.0704737898657384,1.0394601158128278,-0.048758395349164145,0.005914388710574551
2023-06-02,0.05559189783202277,0.006302853525075747,4282.37,0.01442978965214366,-1,1,-0.01442978965214366,0.01442978965214366,1.084903579517882,1.0250303261606841,-0.03432860569702048,0.008724119433417719
2023-06-05,-0.28027314418240595,0.009022556390977444,4273.79,-0.0020055732655681105,1,1,-0.0020055732655681105,-0.0020055732655681105,1.082898006252314,1.023024752895116,-0.036334178962588594,-0.0020055732655681105
2023-06-06,0.004429001699794422,0.009090909090909092,4283.85,0.0023511165774900327,-1,1,-0.0023511165774900327,0.0023511165774900327,1.085249122829804,1.0206736363176259,-0.03398306238509856,0.0014124371628206405
2023-06-07,-0.43204208979239833,0.032058753212599364,4267.52,-0.0038192757067673886,1,1,-0.0038192757067673886,-0.0038192757067673886,1.0814298471230366,1.0168543606108584,-0.03780233809186595,-0.0038192757067673886
2023-06-08,0.14597309194505215,-0.02455201048951049,4293.93,0.00616953524709693,-1,1,-0.00616953524709693,0.00616953524709693,1.0875993823701335,1.0106848253637615,-0.03163280284476902,0.003713871309001459
2023-06-09,0.0876653715968132,0.027132207049486462,4298.86,0.0011474737636884458,1,-1,0.0011474737636884458,-0.0011474737636884458,1.088746856133822,1.01183229912745,-0.03278027660845747,0.0011474737636884458
2023-06-12,0.10535356944257562,0.011883949383949384,4338.93,0.009277902665684432,1,1,0.009277902665684432,0.009277902665684432,1.0980247587995065,1.0211102017931344,-0.023502373942773037,0.009277902665684432
2023-06-13,0.1479567587375641,-0.0012070105820105818,4369.01,0.0069086648833658285,1,1,0.0069086648833658285,0.0069086648833658285,1.1049334236828723,1.0280188666765002,-0.016593709059407206,0.0069086648833658285
2023-06-14,-0.3720749592781067,-0.005252525252525253,4372.59,0.0008190720692196159,1,-1,0.0008190720692196159,-0.0008190720692196159,1.105752495752092,1.0288379387457198,-0.017412781128626823,0.0008190720692196159
2023-06-15,0.08530215595079504,0.008145115753811405,4425.84,0.012104580063652602,-1,-1,-0.012104580063652602,-0.012104580063652602,1.1178570758157444,1.0167333586820673,-0.029517361192279427,0.007309407793200038
2023-06-16,0.05715633665814119,0.011041409570821335,4409.59,-0.0036783763376504303,1,1,-0.0036783763376504303,-0.0036783763376504303,1.114178699478094,1.0130549823444168,-0.03319573752992986,-0.0036783763376504303
2023-06-20,-0.28685156387441296,-0.01449367625838214,4388.71,-0.004746380368690653,1,1,-0.004746380368690653,-0.004746380368690653,1.1094323191094033,1.0083086019757261,-0.037942117898620516,-0.004746380368690653
2023-06-21,-0.05382197856903076,-0.0034603174603174596,4365.69,-0.005259081846186579,-1,-1,0.005259081846186579,0.005259081846186579,1.1041732372632167,1.0135676838219128,-0.03268303605243394,-0.003146579944857743
2023-06-22,0.009001151873515202,-0.032051282051282055,4381.89,0.003703885765053952,-1,-1,-0.003703885765053952,-0.003703885765053952,1.1078771230282707,1.0098637980568588,-0.03638692181748789,0.002226714962142383
2023-06-23,-0.25966150346009625,-0.009493525797873622,4348.33,-0.007688274822307147,1,-1,-0.007688274822307147,0.007688274822307147,1.1001888482059636,1.0021755232345517,-0.028698646995180745,-0.007688274822307147
2023-06-26,-0.33399596268480475,-0.009779614325068872,4328.82,-0.004496875789266097,-1,-1,0.004496875789266097,0.004496875789266097,1.0956919724166976,1.0066723990238178,-0.024201771205914647,-0.002691642826738841
2023-06-27,0.11963196361766142,-0.01258169934640523,4378.41,0.011390657230512101,-1,-1,-0.011390657230512101,-0.011390657230512101,1.1070826296472096,0.9952817417933056,-0.03559242843642675,0.006875724305946535
